P_u,M_u,V_u,f_c,F_y,t_req_2017,t_req_2023,delta_t,delta_t_pct,excentricidad
50.0,200.0,100,5.0,40,1.830604029032797,1.8306040290327976,6.661338147750939e-16,0.0,4.0
50.0,200.0,100,5.0,45,1.725910030128675,1.7259100301286756,6.661338147750939e-16,0.0,4.0
50.0,200.0,100,5.0,50,1.637342019520933,1.6373420195209336,6.661338147750939e-16,0.0,4.0
50.0,300.0,0,3.0,36,2.0858133387124096,2.0858133387124105,8.881784197001252e-16,0.0,6.0
50.0,300.0,0,3.0,40,1.9787762772874422,1.9787762772874429,6.661338147750939e-16,0.0,6.0
50.0,300.0,0,3.0,45,1.8656081654946968,1.8656081654946972,4.440892098500626e-16,0.0,6.0
50.0,300.0,0,3.0,50,1.7698713073114776,1.7698713073114782,6.661338147750939e-16,0.0,6.0
50.0,300.0,0,3.5,36,2.08581333871241,2.08581333871241,0.0,0.0,6.0
50.0,300.0,0,3.5,40,1.9787762772874424,1.9787762772874424,0.0,0.0,6.0
50.0,300.0,0,3.5,45,1.865608165494697,1.865608165494697,0.0,0.0,6.0
50.0,300.0,0,3.5,50,1.7698713073114778,1.7698713073114778,0.0,0.0,6.0
50.0,300.0,0,4.0,36,2.085813338712408,2.085813338712411,3.1086244689504383e-15,0.0,6.0
50.0,300.0,0,4.0,40,1.9787762772874404,1.9787762772874435,3.1086244689504383e-15,0.0,6.0
50.0,300.0,0,4.0,45,1.865608165494695,1.8656081654946979,2.886579864025407e-15,0.0,6.0
50.0,300.0,0,4.0,50,1.769871307311476,1.7698713073114787,2.6645352591003757e-15,0.0,6.0
50.0,300.0,0,4.5,36,2.08581333871241,2.085813338712411,8.881784197001252e-16,0.0,6.0
50.0,300.0,0,4.5,40,1.9787762772874424,1.9787762772874433,8.881784197001252e-16,0.0,6.0
50.0,300.0,0,4.5,45,1.865608165494697,1.8656081654946977,6.661338147750939e-16,0.0,6.0
50.0,300.0,0,4.5,50,1.7698713073114778,1.7698713073114785,6.661338147750939e-16,0.0,6.0
50.0,300.0,0,5.0,36,2.0858133387124127,2.0858133387124083,-4.440892098500626e-15,-0.0,6.0
50.0,300.0,0,5.0,40,1.9787762772874453,1.9787762772874407,-4.6629367034256575e-15,-0.0,6.0
50.0,300.0,0,5.0,45,1.8656081654946997,1.8656081654946952,-4.440892098500626e-15,-0.0,6.0
50.0,300.0,0,5.0,50,1.7698713073114802,1.7698713073114762,-3.9968028886505635e-15,-0.0,6.0
50.0,300.0,50,3.0,36,2.0858133387124096,2.0858133387124105,8.881784197001252e-16,0.0,6.0
50.0,300.0,50,3.0,40,1.9787762772874422,1.9787762772874429,6.661338147750939e-16,0.0,6.0
50.0,300.0,50,3.0,45,1.8656081654946968,1.8656081654946972,4.440892098500626e-16,0.0,6.0
50.0,300.0,50,3.0,50,1.7698713073114776,1.7698713073114782,6.661338147750939e-16,0.0,6.0
50.0,300.0,50,3.5,36,2.08581333871241,2.08581333871241,0.0,0.0,6.0
50.0,300.0,50,3.5,40,1.9787762772874424,1.9787762772874424,0.0,0.0,6.0
50.0,300.0,50,3.5,45,1.865608165494697,1.865608165494697,0.0,0.0,6.0
50.0,300.0,50,3.5,50,1.7698713073114778,1.7698713073114778,0.0,0.0,6.0
50.0,300.0,50,4.0,36,2.085813338712408,2.085813338712411,3.1086244689504383e-15,0.0,6.0
50.0,300.0,50,4.0,40,1.9787762772874404,1.9787762772874435,3.1086244689504383e-15,0.0,6.0
50.0,300.0,50,4.0,45,1.865608165494695,1.8656081654946979,2.886579864025407e-15,0.0,6.0
50.0,300.0,50,4.0,50,1.769871307311476,1.7698713073114787,2.6645352591003757e-15,0.0,6.0
50.0,300.0,50,4.5,36,2.08581333871241,2.085813338712411,8.881784197001252e-16,0.0,6.0
50.0,300.0,50,4.5,40,1.9787762772874424,1.9787762772874433,8.881784197001252e-16,0.0,6.0
50.0,300.0,50,4.5,45,1.865608165494697,1.8656081654946977,6.661338147750939e-16,0.0,6.0
50.0,300.0,50,4.5,50,1.7698713073114778,1.7698713073114785,6.661338147750939e-16,0.0,6.0
50.0,300.0,50,5.0,36,2.0858133387124127,2.0858133387124083,-4.440892098500626e-15,-0.0,6.0
50.0,300.0,50,5.0,40,1.9787762772874453,1.9787762772874407,-4.6629367034256575e-15,-0.0,6.0
50.0,300.0,50,5.0,45,1.8656081654946997,1.8656081654946952,-4.440892098500626e-15,-0.0,6.0
50.0,300.0,50,5.0,50,1.7698713073114802,1.7698713073114762,-3.9968028886505635e-15,-0.0,6.0
50.0,300.0,100,3.0,36,2.0858133387124096,2.0858133387124105,8.881784197001252e-16,0.0,6.0
50.0,300.0,100,3.0,40,1.9787762772874422,1.9787762772874429,6.661338147750939e-16,0.0,6.0
50.0,300.0,100,3.0,45,1.8656081654946968,1.8656081654946972,4.440892098500626e-16,0.0,6.0
50.0,300.0,100,3.0,50,1.7698713073114776,1.7698713073114782,6.661338147750939e-16,0.0,6.0
50.0,300.0,100,3.5,36,2.08581333871241,2.08581333871241,0.0,0.0,6.0
50.0,300.0,100,3.5,40,1.9787762772874424,1.9787762772874424,0.0,0.0,6.0
50.0,300.0,100,3.5,45,1.865608165494697,1.865608165494697,0.0,0.0,6.0
50.0,300.0,100,3.5,50,1.7698713073114778,1.7698713073114778,0.0,0.0,6.0
50.0,300.0,100,4.0,36,2.085813338712408,2.085813338712411,3.1086244689504383e-15,0.0,6.0
50.0,300.0,100,4.0,40,1.9787762772874404,1.9787762772874435,3.1086244689504383e-15,0.0,6.0
50.0,300.0,100,4.0,45,1.865608165494695,1.8656081654946979,2.886579864025407e-15,0.0,6.0
50.0,300.0,100,4.0,50,1.769871307311476,1.7698713073114787,2.6645352591003757e-15,0.0,6.0
50.0,300.0,100,4.5,36,2.08581333871241,2.085813338712411,8.881784197001252e-16,0.0,6.0
